Tên quán,Gía trung bình 1 ly,Lượng khách trung bình một ngày ,số đối thủ trong phạm vi 500 m (hoặc đủ gần để cạnh tranh),diện tích ước tính (mét vuông) ,có giao đồ không? (có 1/ không 0),có chỗ ngồi không,số nhân viên ước tính,Có gần các địa điểm vàng?
Seven Coffee Roastery,"42,000",200,3,50,1,1,5,0
Air Coffee,"42,000",275,0,50,0,1,5,0
1993 coffee,"38,600",160,5,15,0,1,5,0
The Chalet Coffee,"40,500",150,9,15,0,1,5,0
Tiệm Cà Phê Cư Xá Tân Bình,"34,500",115,10,20,0,1,7,0
Citi Coffee,"36,500",170,11,15,0,1,5,0
SUNNY MATCHA & COFFEE,"23,500",200,14,10,0,0,2,0
The Coffee House - Đống Đa,"44,500",325,10,20,0,1,5,0
AIRPORT COFFEE,"42,500",350,6,30,0,1,7,0
TAISPORT HO,"19,500",150,9,10,0,1,3,0
F/C Coffee,"26,000",150,9,20,0,1,5,0
The Coffee Bean & Tea Leaf Tân Sơn Nhất,"71,000",400,6,30,0,1,5,1
Galy Coffee - Cà Phê hữu cơ,"37,500",180,6,20,0,1,5,1
Coffee Station,"18,500",180,20,15,1,1,4,0
Me Coffee,"27,500",140,17,15,0,1,4,0
TIS Coffee - Cà phê rang mộc và trà ô long trái cây tươi Gò Vấp,"32,500",140,17,14,0,1,3,0
Phen’s Coffee,"46,500",170,17,15,0,1,5,0
Landing - Milk Tea and Coffee,"45,500",225,17,20,0,1,5,0
Rosy coffee roastery,"33,500",190,17,10,0,1,3,0
YoshiYoshi Coffee & Tea - Gò Vấp,"59,500",155,3,50,0,1,15,1
Legend Coffee and Tea,"33,500",155,7,15,0,1,5,0
"Chang Coffee - Cà Phê, Trà Sữa - Matcha Hẻm 51 Thống Nhất","21,000",70,5,7,0,1,3,0
Ann Coffee Chill coffee,"24,000",145,5,7,0,1,2,0
LaVie Coffee,"44,500",145,7,25,0,1,5,1
LaVie Kafé,"30,500",145,14,20,0,1,5,0
Rosie Posie - Signature Café,"52,500",220,14,15,0,1,4,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
94,,,,,,,,